claim_id,claim_date,policy_type,region,claim_amount,approved_amount,days_to_close,adjuster,suspected_fraud,customer_satisfaction
CLM-000054,2026-02-07,travel,east,6537.85,5060.14,23,casey,0,4.3
CLM-000055,2025-04-15,home,south,686.91,560.7,14,blake,0,3.9
CLM-000056,2025-12-26,home,east,1431.66,865.03,22,ellis,0,2.6
CLM-000057,2025-07-05,health,south,2582.93,1846.36,19,blake,0,5
CLM-000058,2025-09-03,home,south,6486.17,5244.16,19,ellis,0,3.9
CLM-000059,2025-02-19,home,south,1353.89,1186.32,1,drew,0,2.5
CLM-000060,2025-09-02,home,west,5485.12,5101.31,1,austin,0,3.7
CLM-000061,2025-05-15,travel,west,785.59,577.68,13,ellis,0,4.6
CLM-000062,2025-10-13,home,east,343.54,198.72,31,drew,0,4.3
CLM-000063,2025-09-25,health,south,977.91,787.33,2,casey,0,4.2
CLM-000064,2025-12-09,health,north,362.21,233.0,21,ellis,0,3.7
CLM-000065,2025-10-20,travel,west,784.91,507.07,15,blake,0,3.5
CLM-000066,2025-04-19,auto,east,2269.08,1256.93,7,blake,0,
CLM-000067,2025-01-26,home,west,801.71,581.43,25,austin,0,4.1
CLM-000068,2025-04-06,travel,south,2174.24,1230.09,3,casey,0,5
CLM-000069,2025-06-06,auto,east,812.97,725.69,12,casey,0,
CLM-000070,2025-03-12,auto,north,226.47,178.06,22,drew,0,3.6
CLM-000071,2025-12-20,auto,east,1398.25,1016.15,1,casey,0,4.7
CLM-000072,2025-02-01,travel,east,4321.47,2394.72,23,austin,0,4.9
CLM-000073,2026-01-26,auto,south,840.7,782.1,19,drew,0,2.8
CLM-000074,2026-01-01,health,north,1062.02,702.56,21,drew,1,4.2
CLM-000075,2025-05-31,auto,north,2814.28,2733.07,13,drew,0,2.5
CLM-000076,2026-02-18,health,east,3302.61,1867.71,16,blake,0,3.3
CLM-000077,2025-08-13,home,north,742.14,547.94,1,ellis,0,3.5
CLM-000078,2025-01-13,auto,east,722.61,686.9,21,austin,0,3.5
CLM-000079,2025-09-17,home,west,4069.01,2928.36,20,ellis,0,4.2
CLM-000080,2025-05-25,home,west,2054.0,1264.55,12,blake,0,2.7
CLM-000081,2025-07-05,travel,south,2871.51,1974.6,11,ellis,0,5
CLM-000082,2025-07-12,health,west,599.1,535.22,8,ellis,0,3.6
CLM-000083,2025-03-14,home,east,4148.71,3720.16,11,casey,0,5
CLM-000084,2025-03-07,travel,east,1433.93,1204.05,26,austin,0,4.6
CLM-000085,2025-12-31,travel,south,3828.09,2418.16,30,austin,0,3.8
CLM-000086,2025-11-09,auto,west,2867.16,1659.32,19,austin,0,
CLM-000087,2025-12-14,health,north,1768.72,1166.33,33,ellis,0,4.5
CLM-000088,2025-11-21,health,west,2786.82,1706.84,22,ellis,0,5
CLM-000089,2025-05-12,travel,north,2150.66,2006.94,30,austin,0,4.3
CLM-000090,2025-12-13,health,east,1077.39,851.14,31,ellis,0,4.2
CLM-000091,2025-05-29,travel,east,2245.45,1517.82,25,austin,0,4.6
CLM-000092,2025-01-21,travel,south,773.56,480.33,27,drew,0,4.0
CLM-000093,2025-09-10,auto,west,2181.86,2022.18,5,blake,0,3.2
CLM-000094,2025-07-10,home,east,805.07,557.67,23,blake,0,3.7
CLM-000095,2025-11-28,home,south,960.01,704.14,22,ellis,0,3.4
CLM-000096,2026-02-19,travel,east,14274.82,13698.58,11,blake,0,
CLM-000097,2025-06-20,travel,south,597.17,407.22,32,ellis,1,5
CLM-000098,2025-07-25,auto,north,182.19,98.51,18,blake,0,3.6
CLM-000099,2025-06-20,auto,east,1378.4,666.66,34,casey,1,2.4
CLM-000100,2025-05-16,home,north,6440.34,4504.87,21,blake,0,4.2
CLM-000101,2025-08-31,travel,south,811.77,564.19,18,blake,0,4.0
CLM-000102,2025-05-29,auto,east,718.44,584.39,28,ellis,0,4.2
CLM-000103,2026-02-17,health,east,1028.95,796.23,27,blake,0,3.5
CLM-000104,2025-04-18,auto,east,1436.0,980.2,15,austin,0,4.7
CLM-000105,2025-01-03,travel,east,2263.74,1586.02,16,ellis,0,3.4
CLM-000106,2025-08-04,travel,east,998.23,563.76,1,ellis,0,3.4
CLM-000107,2025-12-12,health,west,1283.28,694.45,39,casey,0,4.2
CLM-000108,2025-12-04,travel,north,4081.06,3483.1,12,austin,0,4.0
CLM-000109,2025-12-19,health,south,526.48,298.43,19,ellis,0,4.2
CLM-000110,2025-06-27,travel,east,3586.52,3168.98,26,ellis,0,3.8
CLM-000111,2025-05-06,home,south,7392.55,5757.38,30,austin,0,4.4
CLM-000112,2025-09-04,auto,east,854.1,779.09,48,blake,0,4.9
CLM-000113,2025-07-05,auto,north,461.5,333.2,23,austin,0,4.9
CLM-000114,2025-10-16,home,east,3341.02,2066.82,23,blake,0,4.4
CLM-000115,2025-07-03,health,east,3142.07,2165.58,17,austin,0,3.5
CLM-000116,2025-03-19,home,west,1813.93,1146.55,5,ellis,0,4.3
CLM-000117,2025-01-25,home,east,6541.87,5499.05,4,casey,0,3.6
CLM-000118,2025-08-20,health,south,2448.08,1345.92,32,blake,0,
CLM-000119,2025-08-03,travel,west,235.82,224.44,16,austin,0,3.6
CLM-000120,2025-04-08,travel,west,2437.12,2368.89,20,austin,0,4.7
CLM-000121,2025-04-02,home,north,1621.55,1047.89,31,austin,0,5
CLM-000122,2025-11-04,travel,north,2791.89,2067.54,26,casey,0,3.5
CLM-000123,2025-11-21,travel,north,1842.56,1380.61,29,austin,0,2.3
CLM-000124,2025-12-20,travel,east,1566.33,1365.56,17,austin,0,3.1
CLM-000125,2025-08-18,home,south,4048.9,2168.96,1,austin,0,2.6
CLM-000126,2025-02-16,home,west,1905.52,1649.06,8,drew,0,4.4
CLM-000127,2026-02-02,health,north,1078.23,1048.64,5,blake,0,3.9
CLM-000128,2025-12-21,home,east,3438.7,3201.28,11,austin,0,4.5
CLM-000129,2025-02-14,travel,north,2138.33,1317.66,25,casey,0,4.3
CLM-000130,2025-01-10,health,south,610.89,440.45,1,drew,0,
CLM-000131,2025-09-05,travel,east,2921.17,1613.65,43,ellis,0,5
CLM-000132,2025-07-01,health,west,2214.97,2024.13,26,casey,0,4.7
CLM-000133,2025-12-29,travel,south,1035.05,527.92,27,blake,1,3.9
CLM-000134,2025-12-15,auto,west,2076.49,1300.34,43,casey,1,5
CLM-000135,2025-09-05,travel,west,4013.13,3066.32,26,casey,0,3.9
CLM-000136,2025-05-15,travel,west,687.06,656.66,35,austin,0,3.5
CLM-000137,2026-01-31,travel,north,1058.33,843.17,13,blake,0,5.0
CLM-000138,2026-02-18,home,south,1476.84,1249.57,19,casey,0,
CLM-000139,2025-06-15,health,north,635.35,480.09,2,austin,0,3.5
CLM-000140,2025-08-03,auto,west,1008.75,811.81,1,blake,0,4.9
CLM-000141,2026-01-08,health,east,872.66,706.52,7,ellis,0,4.0
CLM-000142,2025-05-27,travel,east,788.22,669.53,5,casey,0,3.3
CLM-000143,2025-01-18,home,east,2820.02,2380.82,17,drew,0,2.9
CLM-000144,2026-01-20,travel,east,308.48,225.16,29,ellis,0,4.6
CLM-000145,2025-06-22,home,west,5333.61,4474.28,17,drew,0,4.5
CLM-000146,2026-02-22,auto,north,69.8,58.58,11,blake,0,4.4
CLM-000147,2025-07-10,health,west,414.2,325.77,25,casey,0,3.7
CLM-000148,2025-11-06,auto,west,1762.82,1165.62,21,austin,0,3.3
CLM-000149,2025-09-15,health,west,419.42,296.57,12,austin,0,4.0
CLM-000150,2025-02-07,travel,west,2678.32,2082.19,32,ellis,0,5
CLM-000151,2025-03-14,health,west,970.22,558.68,23,casey,0,3.4
CLM-000152,2025-04-18,travel,north,1810.68,1215.67,32,ellis,1,3.8
CLM-000153,2026-02-14,travel,north,150.38,124.32,19,drew,0,3.4
CLM-000154,2026-02-06,travel,south,11210.55,8029.46,18,austin,0,3.5
CLM-000155,2025-05-23,travel,north,1865.96,1005.85,14,blake,0,5
CLM-000156,2025-02-09,auto,west,3213.87,2609.52,33,drew,0,2.8
CLM-000157,2025-08-11,health,south,1426.87,1283.43,31,drew,0,4.4
CLM-000158,2025-09-06,health,east,759.84,479.73,2,ellis,0,3.7
CLM-000159,2025-06-14,health,west,1549.63,1489.4,9,casey,0,4.0
CLM-000160,2025-03-07,auto,north,897.75,605.08,22,ellis,0,
CLM-000161,2025-07-23,auto,east,2742.46,1820.2,16,austin,0,5
CLM-000162,2025-07-25,health,west,802.39,764.13,23,casey,0,3.7
CLM-000163,2025-07-18,travel,east,457.58,271.55,10,ellis,0,3.6
CLM-000164,2026-01-21,auto,north,746.61,458.4,27,ellis,0,3.8
CLM-000165,2026-01-20,health,west,866.38,728.99,8,austin,0,4.0
CLM-000166,2025-10-05,auto,east,403.66,387.06,12,austin,0,1.8
CLM-000167,2025-07-17,health,north,643.84,451.67,33,blake,0,5
CLM-000168,2025-11-24,health,south,116.1,112.36,8,ellis,0,4.9
CLM-000169,2025-03-08,auto,north,1242.84,967.69,5,austin,0,3.5
CLM-000170,2025-02-28,health,north,963.94,807.23,5,austin,0,3.4
CLM-000171,2025-05-01,home,west,1468.18,910.15,42,drew,1,4.1
CLM-000172,2025-07-02,home,north,659.53,559.78,7,ellis,0,4.6
CLM-000173,2025-05-22,travel,south,1184.68,1003.9,12,blake,0,4.0
CLM-000174,2025-12-14,health,east,850.89,553.97,14,casey,0,3.7
CLM-000175,2025-07-10,health,north,784.95,685.8,7,austin,0,2.7
CLM-000176,2025-08-11,travel,east,5068.13,3239.05,13,ellis,0,4.5
CLM-000177,2025-11-14,health,east,771.77,666.3,15,ellis,0,3.9
CLM-000178,2025-04-11,travel,east,2923.13,2221.75,33,drew,0,4.5
CLM-000179,2025-11-25,home,west,3800.54,2692.49,9,casey,0,4.0
CLM-000180,2026-02-07,home,south,1773.86,1251.07,1,ellis,0,3.4
CLM-000181,2025-06-12,health,west,1584.52,1065.41,1,blake,0,4.1
CLM-000182,2025-07-30,auto,west,1604.08,844.11,30,ellis,0,3.7
CLM-000183,2026-01-21,auto,south,2470.77,2335.24,19,austin,0,3.7
CLM-000184,2025-10-10,home,north,1683.0,1349.81,26,drew,0,3.7
CLM-000185,2025-06-30,auto,north,5156.62,3714.5,20,ellis,0,5
CLM-000186,2025-05-29,travel,south,2033.04,1513.12,17,austin,0,3.2
CLM-000187,2025-01-05,travel,west,1508.57,1252.59,15,blake,0,4.4
CLM-000188,2025-12-12,travel,east,2259.13,1835.65,1,casey,0,4.8
CLM-000189,2026-02-06,travel,north,6488.71,4098.05,4,blake,0,4.5
CLM-000190,2025-01-17,home,east,1260.9,921.07,23,austin,0,3.9
CLM-000191,2025-11-07,health,north,995.29,548.93,31,ellis,0,4.1
CLM-000192,2025-07-02,health,west,4138.3,3946.89,24,austin,0,3.4
CLM-000193,2025-03-23,health,south,2362.25,1415.12,13,austin,0,4.8
CLM-000194,2025-11-27,travel,north,5244.3,3953.64,22,blake,0,3.5
CLM-000195,2025-08-30,travel,north,1948.05,1500.51,1,ellis,0,3.6
CLM-000196,2025-04-20,home,east,563.76,307.07,10,drew,0,3.5
CLM-000197,2025-03-03,health,east,2466.46,1337.43,22,casey,0,4.5
CLM-000198,2025-03-29,health,east,1875.94,1149.68,1,ellis,0,2.2
CLM-000199,2025-11-23,travel,north,896.27,722.55,15,casey,0,3.1
CLM-000200,2026-01-15,travel,north,1221.98,947.68,14,casey,0,4.3
CLM-000201,2025-08-03,auto,east,4671.16,4101.76,22,casey,0,4.1
CLM-000202,2025-05-25,health,north,1932.69,1507.84,7,blake,0,3.1
CLM-000203,2025-04-13,travel,east,2993.02,2573.8,20,ellis,0,4.9
CLM-000204,2025-03-23,health,west,1230.95,891.09,10,austin,0,1.6
CLM-000205,2025-04-07,home,east,1379.56,789.12,28,ellis,0,5
CLM-000206,2025-06-05,travel,north,3290.05,2434.32,7,blake,0,3.4
CLM-000207,2026-02-12,auto,west,2059.16,1124.76,1,drew,0,3.8
CLM-000208,2025-09-23,health,west,4522.3,3170.6,30,ellis,0,3.1
CLM-000209,2025-03-01,travel,south,1706.02,1544.48,4,casey,0,3.9
CLM-000210,2025-10-31,travel,east,1760.13,1437.59,31,ellis,0,5
CLM-000211,2025-11-23,travel,west,1090.14,1055.74,25,casey,0,2.7
CLM-000212,2025-10-13,auto,north,1941.15,1901.59,1,ellis,0,5
CLM-000213,2025-06-11,travel,east,1606.79,897.95,8,austin,0,3.8
CLM-000214,2025-12-12,travel,west,2351.97,1549.66,14,casey,0,5.0
CLM-000215,2025-11-08,travel,east,1090.92,661.81,40,austin,0,2.9
CLM-000216,2025-03-18,travel,south,1065.28,857.05,18,austin,0,3.7
CLM-000217,2025-07-02,health,north,2947.04,1824.45,19,drew,0,3.6
CLM-000218,2025-04-09,auto,north,3109.25,2231.66,41,casey,0,3.5
CLM-000219,2025-12-11,health,west,1749.25,1462.96,5,austin,0,3.5
CLM-000220,2025-06-01,travel,north,1355.38,1089.49,19,drew,0,4.8
CLM-000221,2025-04-21,auto,north,6484.31,3586.64,19,ellis,0,2.7
CLM-000222,2025-08-21,travel,east,886.55,591.28,20,ellis,0,3.6
CLM-000223,2025-08-25,home,south,384.66,247.35,23,casey,0,3.1
CLM-000224,2025-08-12,auto,west,4879.32,4615.41,23,drew,0,4.2
CLM-000225,2026-02-08,health,south,707.29,524.07,21,casey,0,4.0
CLM-000226,2025-11-25,health,north,3321.82,2569.15,21,drew,0,4.6
CLM-000227,2026-02-12,travel,west,204.78,184.63,7,drew,0,3.5
CLM-000228,2025-07-06,home,west,1097.77,740.6,7,casey,0,5.0
CLM-000229,2025-02-05,health,south,543.66,439.99,1,austin,0,4.2
CLM-000230,2025-10-21,auto,west,3849.33,2906.49,26,drew,0,5
CLM-000231,2025-04-22,travel,south,1053.68,788.42,15,ellis,0,5
CLM-000232,2025-05-19,health,north,1353.08,818.97,1,blake,0,4.4
CLM-000233,2025-01-30,travel,north,7717.23,6707.63,33,blake,0,3.8
CLM-000234,2025-02-04,home,south,2973.81,1931.5,37,blake,0,4.4
CLM-000235,2026-02-22,travel,north,817.32,616.31,13,blake,0,3.5
CLM-000236,2025-09-13,auto,east,2370.41,2201.08,25,austin,0,3.3
CLM-000237,2025-04-16,health,south,507.56,387.03,32,blake,0,3.1
CLM-000238,2025-09-06,home,north,3918.02,2183.35,16,drew,0,5
CLM-000239,2025-01-22,home,north,7883.68,5205.78,19,austin,0,3.7
CLM-000240,2025-08-03,travel,north,2768.89,1753.2,24,drew,0,1.7
CLM-000241,2025-03-08,health,south,1050.73,656.94,24,ellis,0,3.5
CLM-000242,2025-07-14,home,west,1224.91,885.76,27,blake,0,4.4
CLM-000243,2025-03-12,travel,south,4126.34,3149.19,17,ellis,0,2.9
CLM-000244,2026-01-01,home,west,3919.72,3095.9,11,blake,0,4.6
CLM-000245,2026-01-21,auto,north,791.42,581.43,7,blake,0,4.0
CLM-000246,2025-10-30,travel,south,577.93,361.95,32,austin,0,3.8
CLM-000247,2025-08-14,travel,south,2031.85,1836.69,17,casey,0,3.0
CLM-000248,2025-11-10,home,west,641.75,544.81,4,blake,0,4.2
CLM-000249,2025-02-05,home,north,4441.99,2935.73,26,casey,0,2.9
CLM-000250,2025-02-20,home,west,996.21,736.75,1,ellis,0,
CLM-000251,2025-06-15,health,south,1326.87,1008.94,28,ellis,0,
CLM-000252,2025-01-16,auto,north,307.0,222.49,28,ellis,1,3.0
CLM-000253,2025-09-14,health,north,3611.32,2834.06,38,austin,0,5
CLM-000254,2025-04-03,auto,north,1314.63,1199.14,17,drew,0,4.7
CLM-000255,2025-05-04,home,north,2206.11,1348.24,23,blake,0,3.7
CLM-000256,2026-01-17,travel,south,7163.09,5964.36,17,drew,0,3.6
CLM-000257,2026-01-13,home,east,11228.96,7509.67,7,austin,0,4.5
CLM-000258,2025-02-09,travel,south,2686.81,1964.39,2,ellis,0,5
CLM-000259,2025-07-09,home,north,1185.17,1049.81,29,austin,0,2.4
CLM-000260,2025-12-23,auto,south,1290.67,798.45,10,blake,0,3.0
CLM-000261,2025-05-10,auto,north,956.68,548.17,23,blake,0,4.8
CLM-000262,2025-10-12,travel,east,1913.79,1518.58,24,casey,0,3.7
CLM-000263,2025-09-18,travel,north,1787.74,1142.25,14,drew,0,4.7
CLM-000264,2025-11-04,auto,south,2211.83,1492.51,12,casey,0,3.1
CLM-000265,2025-02-20,auto,east,797.52,454.67,7,austin,0,4.5
CLM-000266,2025-06-03,home,north,931.0,635.39,17,ellis,0,3.0
CLM-000267,2025-07-15,health,east,4408.73,3292.76,22,ellis,0,2.9
CLM-000268,2025-03-06,travel,north,1893.08,1032.36,20,drew,0,3.7
CLM-000269,2025-01-02,travel,east,3019.31,1836.9,1,casey,0,4.9
CLM-000270,2025-02-02,health,north,1264.15,749.8,12,drew,0,4.9
CLM-000271,2025-04-12,auto,west,323.63,199.84,21,austin,0,3.6
CLM-000272,2025-01-23,home,south,3222.6,2625.89,16,austin,0,3.1
CLM-000273,2025-11-20,travel,south,143.36,105.01,29,ellis,0,3.8
CLM-000274,2025-05-28,home,north,2873.58,1953.1,13,drew,0,
CLM-000275,2025-04-18,health,east,1852.94,1566.1,25,blake,0,2.1
CLM-000276,2025-08-14,health,north,558.0,362.26,2,blake,0,4.2
CLM-000277,2025-10-31,auto,west,679.33,457.02,20,austin,0,3.5
CLM-000278,2026-02-15,health,east,561.24,522.75,18,ellis,0,
CLM-000279,2025-04-10,health,south,1082.46,693.38,26,drew,0,2.8
CLM-000280,2025-11-22,auto,south,1235.2,937.88,3,austin,0,3.5
CLM-000281,2025-02-19,travel,north,480.74,401.97,1,casey,0,4.7
CLM-000282,2026-01-20,auto,south,723.57,545.62,25,blake,0,4.7
CLM-000283,2025-12-01,health,south,437.63,328.25,21,casey,0,4.0
CLM-000284,2025-12-10,home,south,1247.04,920.16,28,ellis,0,2.7
CLM-000285,2025-08-30,home,east,2806.46,1617.04,26,austin,0,4.0
CLM-000286,2026-02-15,health,east,931.03,552.43,30,ellis,0,4.7
CLM-000287,2026-01-24,travel,east,438.86,290.01,37,austin,0,2.2
CLM-000288,2025-07-11,home,south,4904.05,2894.83,9,drew,0,4.6
CLM-000289,2025-02-04,auto,west,870.49,477.91,13,ellis,0,3.8
CLM-000290,2025-09-07,health,east,1490.2,1021.26,37,austin,0,2.5
CLM-000291,2025-06-05,auto,north,365.75,199.99,27,blake,1,3.4
CLM-000292,2026-01-11,auto,south,214.56,176.56,22,drew,0,4.2
CLM-000293,2025-12-29,health,west,4007.13,3294.89,20,drew,0,4.5
CLM-000294,2025-12-07,auto,east,1453.87,1170.53,3,casey,0,4.4
CLM-000295,2025-07-23,auto,north,4758.77,2638.2,21,blake,0,3.7
CLM-000296,2025-10-12,auto,south,2034.0,1689.89,25,ellis,0,4.0
CLM-000297,2025-04-10,home,east,1308.16,1070.1,1,casey,0,
CLM-000298,2025-02-20,home,north,596.42,407.33,7,blake,0,5
CLM-000299,2026-02-02,travel,west,4883.87,2092.24,15,austin,1,3.3
CLM-000300,2025-01-30,health,north,3849.87,3309.08,30,blake,0,3.6
CLM-000301,2025-12-12,travel,west,3112.69,2235.21,36,casey,1,4.8
CLM-000302,2025-12-29,auto,west,5064.73,3214.74,27,austin,0,
CLM-000303,2025-08-08,travel,north,1079.71,595.9,25,drew,0,4.2
CLM-000304,2025-03-08,travel,west,3141.38,1892.78,30,blake,0,4.1
CLM-000305,2025-07-28,home,west,1589.27,919.69,33,ellis,0,4.2
CLM-000306,2026-01-16,travel,south,751.78,571.95,24,austin,0,3.3
CLM-000307,2025-02-13,health,north,770.25,732.62,13,casey,0,5
CLM-000308,2025-06-10,health,south,535.35,280.42,27,blake,0,3.7
CLM-000309,2025-03-31,travel,south,135.91,124.16,19,austin,0,4.3
CLM-000310,2025-11-14,health,south,3061.28,2877.07,6,drew,0,3.5
CLM-000311,2025-04-18,health,north,1038.22,823.91,29,austin,0,3.5
CLM-000312,2025-12-16,auto,west,5275.59,4174.09,22,austin,0,3.9
CLM-000313,2025-12-20,health,west,541.6,376.77,19,austin,0,5
CLM-000314,2025-11-28,travel,west,994.73,656.31,22,casey,0,2.9
CLM-000315,2025-10-22,health,south,284.3,275.27,16,casey,0,
CLM-000316,2025-04-11,auto,north,6266.54,5444.77,39,blake,0,3.9
CLM-000317,2025-01-28,auto,east,2004.24,1803.51,9,drew,0,4.3
CLM-000318,2025-04-23,travel,west,2316.92,1834.82,16,ellis,0,
CLM-000319,2025-04-18,home,west,2212.54,1339.67,37,blake,0,3.4
CLM-000320,2026-02-12,health,north,3206.1,3044.42,8,casey,0,3.9
CLM-000321,2025-10-09,auto,south,950.46,496.11,25,austin,0,
CLM-000322,2025-10-18,travel,west,310.52,239.19,1,ellis,0,5
CLM-000323,2026-01-16,auto,east,1097.08,970.09,21,austin,0,3.2
CLM-000324,2025-10-11,travel,south,530.48,331.4,23,austin,0,
CLM-000325,2025-06-24,travel,east,1619.77,855.37,5,austin,0,4.3
CLM-000326,2025-03-17,home,west,838.08,753.3,12,blake,0,4.4
CLM-000327,2025-07-01,auto,south,2266.74,1374.4,10,ellis,0,4.2
CLM-000328,2025-05-25,auto,east,3965.58,1555.67,44,blake,1,5
CLM-000329,2025-04-21,travel,north,756.99,692.97,13,ellis,0,3.6
CLM-000330,2025-06-09,home,south,2217.86,1385.64,31,drew,0,4.0
CLM-000331,2025-09-05,auto,north,2831.86,2211.88,23,drew,0,4.2
CLM-000332,2025-01-20,auto,west,450.79,354.62,9,ellis,0,4.5
CLM-000333,2025-04-24,travel,west,1090.52,771.84,28,drew,0,4.7
CLM-000334,2025-09-29,auto,north,374.61,307.81,26,austin,0,1.8
CLM-000335,2025-09-26,travel,north,850.29,343.96,30,drew,1,5
CLM-000336,2025-10-06,auto,west,26439.91,16414.91,1,casey,0,4.4
CLM-000337,2025-12-03,home,south,11278.85,8000.25,29,casey,0,1.8
CLM-000338,2025-04-23,health,north,1178.8,939.82,17,casey,0,4.0
CLM-000339,2025-12-09,home,south,10773.71,5732.27,16,drew,0,3.8
CLM-000340,2025-06-06,auto,west,4492.87,2518.43,1,ellis,0,5
CLM-000341,2025-06-13,travel,east,1307.5,965.99,25,austin,0,4.3
CLM-000342,2025-10-25,home,north,615.39,510.46,8,austin,0,3.9
CLM-000343,2025-03-19,travel,east,927.36,659.08,10,blake,0,3.1
CLM-000344,2025-12-07,auto,east,7501.98,5187.8,29,ellis,0,3.3
CLM-000345,2026-02-07,home,south,3936.22,2707.89,11,drew,0,4.1
CLM-000346,2026-02-06,travel,east,4226.21,3459.28,12,drew,0,4.4
CLM-000347,2025-05-19,health,east,1159.17,706.81,33,casey,0,3.9
CLM-000348,2025-03-04,home,west,376.45,277.01,18,casey,0,4.6
CLM-000349,2025-06-02,health,east,2100.58,2028.14,1,casey,0,3.9
CLM-000350,2025-07-19,auto,east,1136.88,891.06,15,austin,0,4.5
CLM-000351,2025-05-29,travel,south,1698.43,1288.48,7,casey,0,5
CLM-000352,2025-12-28,health,north,465.3,244.78,3,casey,0,3.1
CLM-000353,2025-01-21,home,west,2342.17,1953.43,17,drew,0,5
CLM-000354,2025-07-17,auto,west,831.24,696.11,21,ellis,0,4.1
CLM-000355,2025-05-27,travel,west,5921.94,5185.52,41,blake,0,3.5
CLM-000356,2025-10-26,auto,south,4695.6,3215.69,41,austin,0,3.0
CLM-000357,2026-02-14,auto,west,5000.89,3662.44,33,drew,0,2.9
CLM-000358,2025-02-12,travel,west,1599.84,978.89,35,austin,0,3.8
CLM-000359,2025-06-17,travel,north,1501.76,1470.34,6,drew,0,3.8
